,count,mean,std,min,25%,50%,75%,max
Mapsx35,1254.0,7.636363636363637,3.460434423477406,4.0,6.0,7.0,8.0,78.0
Mapsx36,1254.0,148.74003189792663,48.309814620490734,83.0,117.0,136.0,165.0,522.0
MapsTotal,1254.0,1699.3532695374802,277.2928567653421,1089.0,1470.0,1764.0,1917.75,2370.0
MapsPessx2,1254.0,109.90749601275917,26.860956596066533,50.0,91.0,113.0,128.0,194.0
MapsPessx3,1254.0,87.36204146730462,32.223154880210494,33.0,64.0,83.0,107.0,191.0
MapsPessx4,1254.0,105.61323763955343,28.742984435057977,37.0,86.0,110.0,127.75,196.0
MapsPessx5,1254.0,133.86124401913875,38.19045246634899,45.0,106.0,141.5,162.75,209.0
MapsPessx6,1254.0,68.09649122807018,17.983705592805002,28.0,54.0,71.0,82.0,114.0
MapsPessx7,1254.0,99.51993620414673,32.89754102638249,40.0,71.0,104.0,122.0,208.0
MapsPessx8,1254.0,101.28628389154704,26.046435053510784,36.0,83.25,107.0,120.0,166.0
MapsPessx9,1254.0,80.34928229665071,19.617105227866897,32.0,68.25,82.0,93.0,150.0
MapsPessx10,1254.0,90.72966507177034,19.88200139866167,38.0,79.0,92.0,102.0,162.0
MapsPessx11,1254.0,129.21929824561403,34.13618438816743,51.0,107.0,134.0,148.0,242.0
MapsPessx12,1254.0,26.535087719298247,3.8399708345060435,16.0,24.0,27.0,30.0,35.0
MapsPessx13,1254.0,57.91626794258373,8.830324308960211,32.0,53.0,61.0,64.0,76.0
MapsPessx14,1254.0,63.834928229665074,11.20585976226745,32.0,57.0,66.0,72.0,93.0
MapsPessx15,1254.0,28.708133971291865,3.4621631748886887,20.0,27.0,29.0,31.0,48.0
MapsPessx16,1254.0,29.283094098883574,3.3884576619949005,20.0,27.0,29.0,31.0,42.0
MapsPessx17,1254.0,34.02153110047847,5.061979671685568,21.0,31.0,35.0,37.0,48.0
MapsPessx18,1254.0,62.99760765550239,15.307046111930239,27.0,52.0,67.0,73.0,103.0
MapsPessx19,1254.0,103.22089314194578,18.676474624222067,44.0,92.0,110.0,117.0,139.0
MapsPessx20,1254.0,55.89792663476874,8.396448466759528,24.0,52.0,57.0,61.0,77.0
MapsPessx21,1254.0,77.34768740031897,22.744186321066557,28.0,59.0,80.0,93.0,151.0
MapsPessx22,1254.0,76.18102073365232,22.358893495670287,27.0,62.0,76.0,88.0,155.0
MapsPessx23,1254.0,54.92503987240829,12.678760219072783,24.0,47.0,56.0,63.0,89.0
MapsPessx24,1254.0,33.9377990430622,5.984893747818141,21.0,29.0,34.0,38.0,51.0
MapsPessx25,1254.0,18.49043062200957,2.456547380754126,12.0,17.0,19.0,20.0,32.0
MapsPessx26,1254.0,4.5797448165869215,0.8116891034082115,3.0,4.0,5.0,5.0,7.0
MapsPessx27,1254.0,68.28787878787878,14.514518579925541,32.0,61.0,72.0,78.0,107.0
MapsPessx28,1254.0,49.02950558213716,13.196347299077797,19.0,41.0,51.0,56.0,89.0
MapsPessx29,1254.0,102.34609250398724,16.845852844639946,57.0,92.0,108.0,114.0,133.0
MapsPessx30,1254.0,109.97288676236045,19.172861701320777,45.0,103.0,116.0,123.0,142.0
MapsPessx31,1254.0,61.44417862838915,9.618567128348364,31.0,58.0,64.0,68.0,88.0
MapsPessx32,1254.0,67.44976076555024,10.386556436640399,36.0,63.0,69.0,73.0,99.0
MapsPessx33,1254.0,23.365231259968102,7.374960553301765,10.0,20.0,22.0,25.0,69.0
MapsPessx34,1254.0,126.30781499202551,36.14064465197595,51.0,108.0,121.0,138.0,288.0
MapsPessx35,1254.0,14.444178628389155,3.313325595167305,6.0,12.0,14.0,17.0,31.0
MapsPessx36,1254.0,237.0438596491228,45.58388238594139,116.0,206.0,236.0,269.0,385.0
MapsPessTotal,1254.0,2563.434609250399,469.10940747711123,1257.0,2285.0,2716.0,2900.0,3451.0
y2,1254.0,121.12059505691388,112.90976382685294,39.44247805,80.1341132275,97.02826005,124.12722937499998,1459.0
y3,1254.0,87.2393288989713,50.61468515400483,24.47347103,51.862036075,74.25162024,102.958372575,513.9931416000001
y4,1254.0,72.32731534006379,49.605640335524086,23.87458007,50.353626215,62.039682479999996,78.23516739749999,668.9884441
y5,1254.0,123.59207581802231,88.66682344006276,32.19398463,80.166370775,101.61881205,129.43458775,1109.0
y6,1254.0,47.49148762683413,38.47154311275994,15.87981165,32.8958302925,42.6608092,51.05352875249999,1031.0
y7,1254.0,104.01022393852472,79.70911465386462,23.31316879,54.00929202,83.38550753000001,130.9199926,1380.0
y8,1254.0,76.95330976716109,51.09514713427049,20.87836254,49.6350897625,68.444247855,92.369865705,1254.0
y9,1254.0,64.47651443719298,53.57254280877392,16.85943506,39.282247227499994,52.52960909,67.75267704,996.0280817
y10,1254.0,75.2775765138118,68.06092535427102,17.563187399999997,41.726027355,58.670992555,81.618396725,1092.0
y11,1254.0,168.96056583611642,115.94366064250768,29.42706831,90.9355745475,130.9439821,203.28272847499997,1289.0
y12,1254.0,8.880737802036682,4.7891244080174395,2.424517879,5.368349352,8.196804137,10.42158776,48.62995776
y13,1254.0,26.464635083548643,11.182490301847578,10.17844824,19.904092497500002,26.6285476,30.78462167,214.27989730000002
y14,1254.0,53.09452044173046,48.704870243734064,29.44298051,41.853999685000005,47.6998494,56.35085923,1685.0
y15,1254.0,35.88388418937002,12.643296222450221,17.82577524,27.26390299,32.34303268,42.81745723,172.71344409999998
y16,1254.0,38.33089636532696,12.345650973007826,19.77838485,28.8071912075,37.99532078,45.31981365,201.13246999999998
y17,1254.0,47.063240086244015,16.620961084335534,23.34309847,36.78158422,46.445692365,55.16259747,381.1692656
y18,1254.0,68.94981602893142,61.086579736593315,24.18566896,47.936624387500004,63.65236138,80.59272822,1951.0
y19,1254.0,81.89591659799042,30.881491211577355,30.67942648,61.4215317875,79.081745795,96.057282995,633.0435457000001
y20,1254.0,61.44946408095693,30.398892365137133,14.40583805,41.2514539525,54.96559938,73.93683619,427.3242016
y21,1254.0,87.44411110512759,56.91848618873752,19.850361300000003,48.5805209825,69.952149935,107.2979413,501.5411302
y22,1254.0,57.78079347423444,31.823219578436188,12.26310236,36.26890846,50.457218835000006,74.60648545000001,398.2412473
y23,1254.0,31.772138022886764,17.720704618838596,13.65067719,21.097980919999998,29.176084895,38.322689155,374.1105582
y24,1254.0,37.84875340554226,22.236366920352843,17.16222712,25.63840072,31.960092125,44.55591277,496.24299519999994
y25,1254.0,20.447998792636362,12.452114384774651,8.916629618,13.78922188,17.536030035,24.7417446325,257.822888
y26,1254.0,6.490426575216108,4.324550551108852,2.220188244,4.312619939,5.571275856000001,7.64872542375,78.88194364
y27,1254.0,58.59325494279106,31.55363706416257,22.02317503,39.64460821750001,53.531381780000004,70.6291068525,586.8617307999999
y28,1254.0,67.43911183925039,46.8471842947585,12.18620427,35.601391397499995,47.768653405,85.757055815,364.9803227
y29,1254.0,45.090732625773526,26.308448233735913,11.84664918,32.46462161,40.412571235,49.2545947925,354.81052900000003
y30,1254.0,75.40088207011163,34.37374939368334,25.632801399999998,55.8656034625,74.42723190000001,87.82391558249999,767.7097566000001
y31,1254.0,60.754349492623604,31.44866516110303,23.27585318,44.063692735,59.21476884,72.80877450999999,708.1926999
y32,1254.0,67.206939602496,40.60985386080694,10.50659157,46.738723332499994,60.876607605000004,74.551619555,774.1992105
y33,1254.0,26.107496321578147,23.494912820077992,2.94505544,15.92686493,20.70485589,26.155455437500002,217.0123036
y34,1254.0,117.74169290514354,70.261672644226,10.230029,73.44381164750001,96.74272109,134.405408275,753.8201864
y35,1254.0,9.836338149616427,7.474873453405352,1.302564726,7.0058410989999995,8.484525117,10.6190647175,146.45374009999998
y36,1254.0,318.4868780367703,335.43778568236684,26.06206443,179.96341984999998,240.3549982,335.39999002499997,6584.0
yTotal,1254.0,2133.4172348582933,679.2632946938404,964.0425387,1643.34695075,2101.584597,2465.568889,9849.066716
